"","MORT_30_AMI_Score","MORT_30_CABG_Score","MORT_30_COPD_Score","MORT_30_HF_Score","MORT_30_PN_Score","MORT_30_STK_Score","PSI_4_SURG_COMP_Score"
"MORT_30_AMI_Score",1,0.336359717523524,0.201662681879418,0.305136102176416,0.322065797171904,0.249896746672642,0.198273315300871
"MORT_30_CABG_Score",0.336359717523524,1,0.177632254595066,0.204666479525361,0.222800100624011,0.131188131875276,0.138598656408506
"MORT_30_COPD_Score",0.201662681879418,0.177632254595066,1,0.377195516744406,0.344503069572691,0.296664190764818,0.133782308374797
"MORT_30_HF_Score",0.305136102176416,0.204666479525361,0.377195516744406,1,0.397600461199382,0.330598290063716,0.118729703411312
"MORT_30_PN_Score",0.322065797171904,0.222800100624011,0.344503069572691,0.397600461199382,1,0.277529643600758,0.170060264250932
"MORT_30_STK_Score",0.249896746672642,0.131188131875276,0.296664190764818,0.330598290063716,0.277529643600758,1,0.125814495314333
"PSI_4_SURG_COMP_Score",0.198273315300871,0.138598656408506,0.133782308374797,0.118729703411312,0.170060264250932,0.125814495314333,1
