"","Provider.ID","READM_30_AMI_Score","READM_30_CABG_Score","READM_30_COPD_Score","READM_30_HF_Score","READM_30_HIP_KNEE_Score","READM_30_HOSP_WIDE_Score","READM_30_PN_Score","READM_30_STK_Score"
"1",10001,-0.530007798656774,-0.0333682828187631,1.04640865383303,-0.425038917530268,1.22508598518527,-0.227004866455011,1.24839921335679,0.207684251965398
"15",10005,-0.21925908263264,-0.0333682828187631,-1.82959424185405,-0.0321929823962676,2.71122889998745,-0.872947133511614,-0.537740724009828,1.09375118198248
"29",10006,-1.15150523070504,-0.0333682828187631,-0.15965707661639,-1.05359241374467,0.977395499384909,-0.227004866455011,0.62713314818579,-0.678382678051685
"43",10007,-0.0638847246205706,-0.0333682828187631,-0.0668827896587445,-0.660746478610666,-0.0133664438165406,1.32325657448084,0.161183599307545,0.207684251965398
"57",10008,-0.0638847246205706,-0.0333682828187631,-0.716302798362277,0.910637261925335,-0.0133664438165406,0.16056049377895,-0.848373756595325,-0.0454777280394822
"71",10011,1.33448449748803,-0.0333682828187631,-0.345205650531685,-1.68214590995907,1.22508598518527,-0.356193319866331,-0.304765949570703,-1.56444960806877
"85",10012,-1.15150523070504,-0.0333682828187631,-0.716302798362277,1.14634482300573,-0.0133664438165406,-0.356193319866331,1.79200702038141,0.33426524196784
"99",10016,1.33448449748803,-0.0333682828187631,-1.9223685288117,-0.346469730503467,0.977395499384909,-1.13132404033426,0.00586708301479624,-0.172058718041922
"113",10018,-0.0638847246205706,-0.0333682828187631,-0.0668827896587445,-0.0321929823962676,-0.0133664438165406,-0.0978164130436907,-0.0717911751315794,-0.0454777280394822
"127",10019,-0.0638847246205706,-0.0333682828187631,2.80912010602833,0.360652952737733,-1.25181887281835,0.418937400601592,0.93776618077129,1.22033217198492
"141",10021,-0.0638847246205706,-0.0333682828187631,-0.0668827896587445,-0.503608104557066,1.22508598518527,-1.00213558692293,-0.537740724009828,-0.0454777280394822
"155",10022,-0.0638847246205706,-0.0333682828187631,-0.716302798362277,-0.503608104557066,-0.0133664438165406,-0.485381773277654,-1.39198156361995,-0.0454777280394822
"169",10023,1.95598192953631,-0.0333682828187631,-0.437979937489334,1.06777563597893,0.234324041983823,0.0313720403676295,1.17074095521041,1.60007514199225
"183",10024,1.64523321351217,-0.0333682828187631,-2.57178853751523,-2.31069940617347,0.729705013584548,-0.614570226688974,-0.149449433277955,0.587427221972721
