"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"1",10001,-0.197705875555265,-0.336240066751116,1.85166681363127,-0.183011285779922,-0.424589447246623
"7",10005,0.6110180404696,1.73124363288193,0.500950570231109,1.10046524244084,0.82067065067858
"13",10006,0.435208493507673,0.486307211597515,-3.47615836866936,1.58176894052363,1.5625277302936
"19",10007,1.90028805152373,0.819772324441554,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"25",10008,-0.525883696550863,-0.336240066751116,-0.0243279688689525,-1.62692238002828,-0.0536609074391155
"31",10011,-0.666531334120404,1.7757056479278,-0.0243279688689525,0.619161544358055,-0.927992465556811
"37",10012,-0.232867784947651,1.86462967801955,-1.14992483836908,-0.102794002766124,-0.0536609074391155
"43",10016,2.73245324047685,-0.2028540216135,0.0507118224310567,0.77959611038565,-0.504074134348233
"49",10018,-0.279750330804165,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"55",10019,1.51350704820749,-0.358471074274052,-0.0243279688689525,1.42133437449603,-0.345104760145015
"61",10021,-0.455559877766092,-0.247316036659372,-2.35056149916922,-0.102794002766124,3.49665511643274
"67",10022,-0.115661420306366,0.730848294349811,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"73",10023,-0.643090061192148,-0.469626111888732,-0.0243279688689525,0.859813393399448,1.6420124173952
"79",10024,0.118751308976204,-0.491857119411668,-0.0243279688689525,-0.423663134821315,1.58902262599413
"85",10029,0.411767220579415,-0.291778051705244,1.02622910933117,0.0576405632614712,1.8539715829995
"91",10032,-0.783737698761689,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"97",10033,1.81824359627483,-0.53631913445754,4.10286055263153,0.137857846275269,0.158298258165174
"103",10034,0.728224405110884,0.197304113799347,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"109",10035,0.0835893995838182,1.57562658022138,-2.87584003826929,1.34111709148223,1.5625277302936
"115",10036,-0.0101756921292097,2.17586378334065,-0.0243279688689525,-0.102794002766124,-0.769023091353595
"121",10038,-0.420397968373706,1.06431340719385,4.10286055263153,-0.102794002766124,3.47016022073221
