"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"1",10001,0.0642243770846861,0.354618496128654,-0.327874429222302,1.7905182797467,0.0783926565815808,0.258190566657789,-0.178974929888495,0.251385624115378,-0.655661990152498,-4.04363407738697,-0.820973487179861,0.444875057181332,-1.47673915128719,0.347192833807266,0.323146900558773,-0.635966409244371,-0.736857328871112,-0.243749237328446
"44",10005,0.0642243770846861,0.584262570637775,-0.1762354563408,0.344901677849825,1.38567556195242,0.744789112877149,0.416701508494185,0.53084476970557,-0.267322399349441,0.139089255096366,-0.255747671056318,-1.72237269357666,0.783845461131468,0.0586589703689895,-0.904360878693306,0.934643878809759,0.56310298240832,-0.243749237328446
"87",10006,0.0642243770846861,0.699084607892335,0.127042489422205,-0.377906623098612,0.0783926565815808,-0.44467400010351,0.178430933141113,0.251385624115378,-0.655661990152498,0.139089255096366,-0.255747671056318,0.0508300115889687,-0.955065779190577,0.491459765526404,-2.13186865794539,-1.50852768038555,-0.476865266615225,-0.243749237328446
"130",10007,0.0642243770846861,0.584262570637775,-2.45082004956333,-0.377906623098612,0.0783926565815808,-2.66140071065837,-3.63389827250804,-2.26374668619635,-0.267322399349441,0.139089255096366,0.309478145067225,-5.07175558111175,0.262172089034854,0.347192833807266,0.323146900558773,0.236594861896812,0.303110920152434,-0.243749237328446
"173",10008,0.0642243770846861,0.124974421619534,-3.20901491397085,-0.377906623098612,0.0783926565815808,0.961055133419087,0.714539727685525,0.251385624115378,-0.267322399349441,0.139089255096366,0.309478145067225,0.24785253438515,0.262172089034854,0.635726697245542,0.323146900558773,0.236594861896812,0.303110920152434,-0.243749237328446
"216",10011,0.0642243770846861,-1.25289002543519,-2.45082004956333,1.06770997879826,-4.38815727010211,-0.0662084641551184,-2.62124832725748,0.251385624115378,-0.655661990152498,-8.67450633835066,0.309478145067225,-1.3283276479843,-4.43288825983467,-3.83654818604774,-6.71292769011415,-5.17328501917853,0.56310298240832,8.88257272515875
"259",10012,0.0642243770846861,0.699084607892335,0.354500948744458,0.344901677849825,0.296273140810054,1.17732115396103,0.893242659200329,0.810303915295762,4.39275269028725,0.139089255096366,0.309478145067225,-0.343215034003394,0.783845461131468,0.635726697245542,0.0776453447083571,0.0620826076685757,0.56310298240832,-0.243749237328446
"302",10016,0.0642243770846861,0.469440533383214,-0.706971861426058,0.344901677849825,0.0783926565815808,0.528523092335211,0.893242659200329,0.251385624115378,0.121017191453617,0.139089255096366,-0.255747671056318,0.24785253438515,0.436063213067059,0.491459765526404,0.323146900558773,0.934643878809759,0.173114889024491,-0.243749237328446
"345",10018,0.0642243770846861,-4.69755114307199,-1.54098621227432,-1.10071492404705,0.0783926565815808,0.258190566657789,0.297566220817649,0.251385624115378,-0.267322399349441,0.139089255096366,0.309478145067225,0.24785253438515,0.262172089034854,-3.83654818604774,0.323146900558773,0.236594861896812,0.303110920152434,-0.243749237328446
"388",10019,0.0642243770846861,0.469440533383214,-0.252054942781551,-0.377906623098612,0.0783926565815808,-0.336540989832541,0.893242659200329,0.53084476970557,2.45105473627196,0.139089255096366,-6.47323164841529,-1.72237269357666,-3.04175926757703,0.0586589703689895,-0.904360878693306,0.934643878809759,0.56310298240832,-0.243749237328446
"431",10021,0.0642243770846861,0.699084607892335,0.809417867388965,0.344901677849825,0.0783926565815808,0.258190566657789,0.297566220817649,0.810303915295762,-0.267322399349441,0.139089255096366,0.309478145067225,0.24785253438515,0.262172089034854,0.77999362896468,0.568648456409189,0.236594861896812,0.303110920152434,-0.243749237328446
"474",10022,0.0642243770846861,0.584262570637775,-0.706971861426058,-0.377906623098612,0.0783926565815808,0.258190566657789,0.059295645464577,-0.866450958245391,-0.267322399349441,0.139089255096366,0.309478145067225,0.24785253438515,0.262172089034854,0.202925902088128,0.323146900558773,0.236594861896812,0.303110920152434,-0.243749237328446
"517",10023,0.0642243770846861,0.354618496128654,-1.16188878007057,0.344901677849825,0.0783926565815808,-1.5260041028132,-2.62124832725748,0.251385624115378,0.509356782256675,-2.40042133962566,-0.255747671056318,0.444875057181332,0.262172089034854,0.347192833807266,0.0776453447083571,-0.984990917700845,0.173114889024491,-0.243749237328446
