"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"1",10001,-0.254407425519237,-0.413668703893274,1.24169326827568,-0.20749695318248,-0.304910241615349
"7",10005,0.456621556776018,1.35437765597476,0.321939122263246,0.648976866335933,0.397478730239843
"13",10006,0.302050038885745,0.289747589817665,-2.38622586321781,0.970154548655338,0.815923224111022
"19",10007,1.59014602130468,0.574916357538315,NA,NA,NA
"25",10008,-0.542940925581079,NA,NA,-1.17103000014069,NA
"31",10011,-0.666598139893298,1.39240015833751,NA,0.327799184016528,-0.588854719599363
"37",10012,-0.285321729097292,1.46844516306302,-0.802204833974172,NA,NA
"43",10016,2.32178453931864,-0.299601196805014,0.0153544069257686,0.43485841145633,-0.349743580244404
"49",10018,NA,NA,NA,NA,NA
"55",10019,1.25008868194608,-0.432679955074651,NA,0.863095321215536,-0.260076902986295
"61",10021,-0.48111231842497,-0.337623699167768,-1.61976407487411,NA,1.90686779741802
"67",10022,-0.182274050503776,0.498871352812809,NA,NA,NA
"73",10023,-0.645988604174595,-0.527736210981535,NA,0.488388025176231,0.860756562740076
"79",10024,0.023821306683254,-0.546747462162912,NA,-0.368085794342182,0.830867670320707
"85",10029,0.281440503167042,-0.375646201530521,0.67962129015697,-0.0469081120227776,0.980312132417556
"91",10032,-0.769645818486813,NA,NA,NA,NA
"97",10033,1.51801264628922,-0.584769964525665,2.77461684496307,0.00662150169712307,0.0238675749977191
"103",10034,0.559669235369533,0.0426013244597671,NA,NA,NA
"109",10035,-0.00709299689480045,1.22129889770512,-1.97744624276784,0.809565707495635,0.815923224111022
"115",10036,-0.0895311397696127,1.7346026796023,NA,NA,-0.499188042341254
"121",10038,-0.450198014846916,0.78404012053346,2.77461684496307,NA,1.89192335120834
"127",10039,0.786374128275266,-0.584769964525665,0.117549312038261,1.02368416237524,-0.09568799467976
"133",10040,0.374183413901206,0.536893855175562,NA,1.61250991329415,-0.27502134919598
"139",10044,-0.553245693440431,-0.147511187354,NA,NA,NA
"145",10045,-0.74903628276811,-0.508724959800158,NA,0.702506480055834,1.32403439524031
"151",10046,-0.697512443471352,0.0806238268225205,NA,2.20133566421306,NA
"157",10047,-0.687207675612001,NA,NA,NA,NA
"163",10049,-0.48111231842497,-0.527736210981535,2.3658372245131,1.77309875445385,1.47347885733716
"169",10051,NA,NA,NA,NA,NA
"175",10052,NA,NA,NA,NA,NA
"181",10055,-0.27501696123794,-0.394657452711898,0.373036574819493,0.702506480055834,0.427367622659213
"187",10056,-0.367759871972104,-0.546747462162912,1.03730345805069,0.541917638896131,1.12975659451441
"193",10058,-0.244102657659885,-0.584769964525665,NA,NA,NA
"199",10059,-0.0277025326135036,-0.375646201530521,NA,1.98721720933345,NA
"205",10061,-0.450198014846916,-0.584769964525665,NA,0.595447252616032,0.561867638546377
"211",10062,2.51757512864632,-0.584769964525665,NA,NA,NA
"217",10065,-0.27501696123794,-0.299601196805014,NA,-0.84985231782129,1.33897884144999
"223",10069,-0.450198014846916,0.574916357538315,0.168646764594507,NA,NA
"229",10073,-0.74903628276811,-0.280589945623637,-0.086840498186724,NA,NA
"235",10078,0.00321177096455103,-0.223556192079507,-0.086840498186724,0.274269570296627,-0.170410225728185
"241",10079,1.82715568206977,-0.432679955074651,1.95705760406313,1.07721377609514,-1.32113258387392
"247",10083,1.27069821766479,2.11482770322983,0.475231479931985,0.756036093775735,-1.21652146040613
"253",10085,0.487535860354072,1.27833265124925,-0.240132855855463,-0.528674635501885,0.158367590884884
"259",10086,-0.357455104112752,-0.0334436802657399,-0.189035403299217,NA,2.01147892088582
"265",10087,1.43557450341441,2.36197396858773,NA,2.04074682305335,NA
"271",10089,-0.388369407690807,1.01217513470998,NA,0.113680729136925,2.26553450645046
"277",10090,3.31104225381639,0.746017618170706,NA,0.756036093775735,1.06997880967567
"283",10091,2.25995593216253,3.97793031900475,NA,NA,NA
"289",10092,-0.697512443471352,-0.546747462162912,-0.648912476305433,0.113680729136925,1.05503436346598
"295",10095,-0.913912568517734,NA,NA,-1.17103000014069,NA
"301",10097,0.322659574604448,NA,NA,NA,NA
"307",10099,2.55879420008373,-0.280589945623637,-0.700009928861679,-1.06397077270089,2.26553450645046
"313",10100,0.683326449681751,0.156668831548027,NA,0.702506480055834,-0.215243564357239
"319",10101,0.363878646041854,0.688983864626576,-0.648912476305433,NA,NA
"325",10102,-0.171969282644425,NA,NA,NA,NA
"331",10103,0.40509771747926,0.631950111082446,NA,0.113680729136925,0.307812052981734
"337",10104,0.466926324635369,-0.489713708618781,0.117549312038261,0.863095321215536,0.546923192336692
"343",10108,-0.0895311397696127,-0.470702457437405,NA,NA,1.86203445878897
"349",10109,-0.522331389862376,-0.394657452711898,NA,NA,NA
"355",10110,-0.738731514908758,-0.584769964525665,NA,NA,NA
"361",10112,0.302050038885745,1.03118638589136,NA,NA,0.262978714352678
"367",10113,4.74051965126563,-0.489713708618781,NA,0.113680729136925,-0.12557688709913
"373",10114,0.00321177096455103,-0.584769964525665,2.2636423194006,NA,-0.663576950647787
"379",10118,-0.450198014846916,-0.261578694442261,-0.342327760967955,-0.368085794342182,-0.454354703712198
"385",10120,0.00321177096455103,-0.318612447986391,0.321939122263246,-0.368085794342182,1.47347885733716
"391",10125,-0.254407425519237,NA,0.0153544069257686,NA,-0.514132488550938
"397",10126,0.87911703900943,-0.185533689716754,0.832913647825709,NA,NA
"403",10128,2.13629871785032,NA,NA,NA,NA
"409",10129,2.41452745005281,1.65855767487679,NA,NA,NA
"415",10130,0.899726574728133,3.99694157018613,NA,0.809565707495635,NA
"421",10131,-0.295626496956643,-0.508724959800158,-0.342327760967955,2.62957257397226,0.262978714352678
"427",10138,NA,NA,NA,NA,NA
"433",10139,0.291745271026393,-0.584769964525665,-0.546717571192941,-0.528674635501885,1.89192335120834
