"","Provider.ID","READM_30_AMI_Score","READM_30_CABG_Score","READM_30_COPD_Score","READM_30_HF_Score","READM_30_HIP_KNEE_Score","READM_30_HOSP_WIDE_Score","READM_30_PN_Score","READM_30_STK_Score"
"1",10001,-0.408635919553653,-0.0723952523739224,0.892477661541434,-0.370372518621821,0.914645914227026,-0.225904401429197,1.13879277003415,0.124545161624438
"15",10005,-0.199927656508895,NA,-1.61178977395213,-0.036448081073741,2.03352519384808,-0.843118030846905,-0.507405967164421,0.776968826076594
"29",10006,-0.826052445643169,-0.0723952523739224,-0.157699004955869,-0.904651618698747,0.728166034290184,-0.225904401429197,0.566201904921602,-0.527878502827717
"43",10007,NA,NA,-0.0769161844560782,-0.570727181150667,NA,1.2554083091733,0.136758756087194,0.124545161624438
"57",10008,NA,NA,-0.642395927954625,0.764970569041652,NA,0.144423776221426,-0.793701399720693,NA
"71",10011,0.843613658714897,-0.0723952523739224,-0.319264645955453,-1.43893071877567,0.914645914227026,-0.349347127312739,-0.292684392747216,-1.18030216727987
"85",10012,-0.826052445643169,NA,-0.642395927954625,0.965325231570498,NA,-0.349347127312739,1.63980977700763,0.217748542260461
"99",10016,0.843613658714897,-0.0723952523739224,-1.69257259445193,-0.303587631112204,0.728166034290184,-1.09000348261399,-0.0063889601909417,-0.155064980283628
"113",10018,NA,NA,NA,NA,NA,NA,NA,NA
"127",10019,NA,NA,2.42735125103749,0.297476356474339,-0.950152885141403,0.39130922798851,0.852497337477876,0.870172206712616
"141",10021,NA,NA,-0.0769161844560782,-0.437157406131435,0.914645914227026,-0.966560756730446,-0.507405967164421,NA
"155",10022,NA,NA,-0.642395927954625,-0.437157406131435,NA,-0.472789853196282,-1.29471840669417,NA
"169",10023,1.26103018480442,-0.0723952523739224,-0.400047466455247,0.898540344060884,0.168726394479655,0.0209810503378847,1.06721891189508,1.14978234862068
"183",10024,1.05232192175966,-0.0723952523739224,-2.25805233795047,-1.9732098188526,0.541686154353341,-0.596232579079823,-0.14953667646908,0.404155303532505
