"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"1",10001,NA,0.407194191175063,-0.259922499953877,1.37648497309459,NA,NA,0.0530953891413936,NA,-0.672639878808247,-1.55096997583137,-0.103609209090191,0.496289567390057,-0.875505690377241,0.408899793590923,0.428609370021716,-0.305505839803889,-0.277408215444189,-0.522866954178344
"44",10005,NA,0.614294032493132,-0.118970270824601,0.142433977506092,0.818848185709943,0.728021348381033,0.510112385453457,0.581963399368242,-0.382090160494137,NA,0.254609177495175,-1.13325195312945,0.767510972829487,0.153720931458631,-0.563197767552582,0.853427300204965,0.658344863156919,NA
"87",10006,NA,0.717843953152167,0.162934187433952,-0.474591520288156,NA,-0.191157810915187,0.327305586928632,NA,-0.672639878808247,NA,0.254609177495175,0.200009290931965,-0.496347998867996,0.536489224657068,-1.55500490512688,-0.949357584253252,-0.0902575997239675,-0.522866954178344
"130",10007,NA,0.614294032493132,-2.23325370776374,-0.474591520288156,NA,-1.90417351687632,-2.59760318946857,-1.38870161390526,NA,NA,0.612827564080541,-3.65163430302324,NA,0.408899793590923,0.428609370021716,NA,NA,NA
"173",10008,NA,0.200094349856994,-2.93801485341013,-0.474591520288156,NA,0.895144831889437,0.738620883609489,NA,NA,NA,NA,NA,NA,0.664078655723214,NA,NA,NA,NA
"216",10011,NA,-1.04250469805142,-2.23325370776374,0.75945947530034,-2.10063444894723,0.10130828522452,-1.82067429573807,NA,-0.672639878808247,-3.64049826822451,NA,-0.836971676671359,-3.02406594226296,-3.2911937073273,-5.25642914255416,-3.65353491094058,0.658344863156919,4.58874127515626
"259",10012,NA,0.717843953152167,0.374362531127866,0.142433977506092,0.268002405585948,1.06226831539784,0.875725982503108,0.779029900695592,3.10450645927519,NA,NA,-0.0962709855261274,0.767510972829487,0.664078655723214,0.230247942506857,0.209575555755602,0.658344863156919,NA
"302",10016,NA,0.510744111834098,-0.612303072777068,0.142433977506092,NA,0.560897864872629,0.875725982503108,NA,-0.0915404421800261,NA,0.254609177495175,0.348149429161011,0.51473917848999,0.536489224657068,0.428609370021716,0.853427300204965,0.377618939576587,-0.522866954178344
"345",10018,NA,-4.14900231782246,-1.38754033298809,-1.0916170180824,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2911937073273,NA,NA,NA,NA
"388",10019,NA,0.510744111834098,-0.189446385389239,-0.474591520288156,NA,-0.107596069160985,0.875725982503108,0.581963399368242,1.65175786770464,NA,-3.68579307494385,-1.13325195312945,-2.01297876490498,0.153720931458631,-0.563197767552582,0.853427300204965,0.658344863156919,NA
"431",10021,NA,0.717843953152167,0.797219218515695,0.142433977506092,NA,0.351993510487125,0.418708986191044,0.779029900695592,NA,NA,NA,NA,NA,0.79166808678936,0.626970797536576,NA,NA,NA
"474",10022,NA,0.614294032493132,-0.612303072777068,-0.474591520288156,NA,NA,0.235902187666219,-0.403369107268509,NA,NA,NA,NA,NA,0.281310362524777,NA,NA,NA,NA
"517",10023,NA,0.407194191175063,-1.0351597601649,0.142433977506092,NA,-1.02677522845721,-1.82067429573807,NA,0.199009276134084,-0.809524452724129,0.254609177495175,0.496289567390057,0.388353281320242,0.408899793590923,0.230247942506857,-0.563046537583634,0.377618939576587,-0.522866954178344
"560",10024,NA,0.614294032493132,-2.16277759319911,1.99351047088884,NA,1.06226831539784,0.875725982503108,NA,-0.382090160494137,NA,0.612827564080541,0.644429705619104,0.641125075659739,0.536489224657068,0.230247942506857,-1.46443897981274,0.284043631716476,0.863895994637338
"603",10029,NA,-0.214105332779145,0.867695333080333,0.75945947530034,NA,-0.692528261440398,0.510112385453457,-1.19163511257791,-0.672639878808247,NA,NA,0.200009290931965,-0.117190307358751,-0.739405086004388,0.031886514991997,0.59588660242522,-1.11958598618519,1.97330635368988
"646",10032,NA,0.614294032493132,-0.259922499953877,-0.474591520288156,NA,0.811583090135235,0.875725982503108,-0.00923610461380896,NA,NA,NA,NA,NA,0.281310362524777,NA,NA,NA,NA
"689",10033,NA,0.510744111834098,-0.89420753103562,1.37648497309459,NA,0.0177465434703177,0.555814085084663,NA,-0.672639878808247,0.673366593490359,0.612827564080541,0.644429705619104,0.641125075659739,-0.484226223872097,-0.364836340037722,0.0808052068657289,-1.11958598618519,-0.245514364415207
"732",10034,NA,-0.835404856733353,-0.259922499953877,1.99351047088884,NA,1.06226831539784,0.875725982503108,0.779029900695592,NA,NA,0.612827564080541,-1.13325195312945,NA,-1.37735224133512,-3.73698060779034,NA,NA,NA
"775",10035,NA,0.614294032493132,0.444838645692504,-0.474591520288156,0.212917827573548,-0.608966519686196,-0.129711409383432,0.581963399368242,1.94230758601875,NA,0.612827564080541,0.496289567390057,0.51473917848999,0.79166808678936,0.428609370021716,0.853427300204965,0.658344863156919,NA
"818",10036,NA,0.717843953152167,-0.259922499953877,-0.474591520288156,NA,1.06226831539784,0.647217484347076,0.779029900695592,-0.672639878808247,NA,NA,0.644429705619104,0.767510972829487,0.79166808678936,0.428609370021716,0.0808052068657289,0.658344863156919,NA
"861",10038,NA,0.717843953152167,-1.38754033298809,-0.474591520288156,NA,0.560897864872629,0.327305586928632,NA,NA,NA,NA,-0.0962709855261274,0.261967384150494,0.664078655723214,0.428609370021716,-0.176735490914016,-1.40031190976552,NA
