"","Provider.ID","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"1161",140093,-0.606985631584164,0.266085586711831,0.0344895810159586,0.172047260438778,0.168752495505084,-0.431215870517722,0.602536794651935,-0.195672364517345,-0.237163893505381,-0.0147109578037188,-0.963412815345777
"1162",140095,0.443097266010335,-0.54418198115718,0.0344895810159586,-0.539396892354036,0.168752495505084,0.291759407692968,-0.846393199616636,0.167512108883106,-0.55362298000857,-0.21319572694006,-0.253501285539101
"1163",140100,1.49318016360483,1.48148693851535,1.72075369535724,1.83208361695534,2.18093384911431,1.73770996411435,1.76168079006679,2.34661894928581,2.61096788502332,0.779228118741646,2.34950765708538
"1164",140101,0.443097266010335,0.671219370646337,0.0344895810159586,0.883491413231592,0.571188766226928,0.0507676482894047,1.18210879235936,1.25706552908446,1.02867245250737,-0.0147109578037188,0.693047420869799
"1165",140103,-1.65706852917866,-2.97498468476421,-2.49490659049596,-2.91087740166342,-2.64830139954783,-2.11815818634267,-3.16468119044635,-2.73796367832051,-3.08529567203408,-0.0147109578037188,-2.85651022816358
"1166",140110,0.968138714807584,0.266085586711831,-0.808642476154683,0.883491413231592,0.571188766226928,0.291759407692968,0.312750795798221,-0.558856837917797,-0.870082066511758,-0.411680496076401,-0.963412815345777
"1167",140113,-0.606985631584164,0.671219370646337,-1.23020850474,0.409195311369716,0.168752495505084,-0.431215870517722,1.18210879235936,0.167512108883106,0.395754279500997,-0.0147109578037188,0.693047420869799
"1168",140114,-0.34446490718554,-0.949315765091685,0.0344895810159586,0.172047260438778,-0.23368377521676,-0.190224111114159,0.0229647969445066,0.167512108883106,-0.55362298000857,-1.00713480348542,-0.490138462141326
"1169",140115,-0.0819441827869147,-2.56985090082971,-0.808642476154683,-2.91087740166342,-1.03855631666045,-0.913199389324849,-1.42596519732406,-1.2852257847187,-2.4523774990277,-1.00713480348542,-1.67332434515245
"1170",140116,0.443097266010335,0.266085586711831,-0.387076447569362,0.409195311369716,0.168752495505084,-0.190224111114159,0.602536794651935,0.530696582283557,-0.237163893505381,-1.00713480348542,-0.253501285539101
