"","Provider.ID","ED_1b_Score","ED_2b_Score","OP_18b_Score","OP_20_Score","OP_21_Score","OP_3b_Score","OP_5_Score"
"3590",390156,1.12954011273515,1.38338062064683,-0.360672669966987,0.326503536430866,0.591437006542214,NA,1.99736569339278
"3591",390157,-0.408757449205804,-0.562527913612598,-0.609010460850755,-1.05073555169945,0.29492194908718,NA,-1.06975699089558
"3592",390160,-0.703773419989001,-0.870630098203674,-0.311005111790233,-0.788404296817488,-0.179502142840874,NA,-0.86528214527636
"3593",390162,-0.22964060980172,-0.0760507800477398,-0.658678019027509,-0.460490228215031,-0.416714188804901,NA,NA
"3594",390163,-0.672164565976516,-0.773334671490703,-0.758013135381016,-0.460490228215031,-0.713229246259935,NA,-0.660807299657136
"3595",390164,NA,NA,0.28500558633081,-0.919569924258471,-1.18765333818799,NA,NA
"3596",390168,-0.745918558672315,-0.740902862586379,-0.162002437259973,-0.591655855656014,0.0577099031231529,NA,-0.0473827627994638
"3597",390173,-0.261249463814205,-0.238209824569359,-0.311005111790233,-0.00141053217159076,0.176315926105166,1.09748417945025,-0.0473827627994638
"3598",390174,1.1084675433935,1.10771024496008,0.732013609921593,0.457669163871849,1.3623761559253,NA,NA
"3599",390178,NA,NA,-0.33583889087861,-0.198158973333065,-0.416714188804901,0.443193562694105,-0.251857608418688
"3600",390179,0.539508171168759,0.150971882282527,0.980351400805361,-0.263741787053556,-0.653926234768928,NA,NA
"3601",390180,0.982032127343555,1.35094881174251,-0.112334879083219,-0.329324600774048,-0.179502142840874,NA,NA
"3602",390183,0.307709908410533,0.377994544612794,-0.236503774525103,0.523251977592341,0.176315926105166,NA,NA
"3603",390184,-0.703773419989001,-0.41658477354314,-1.45335894985557,0.0641722815489007,-0.653926234768928,NA,0.566041774058208
"3604",390185,0.149665638348105,-0.011187162239092,0.905850063540231,1.5725769971202,1.00655808697926,-0.211097054062043,0.770516619677432
"3605",390192,-0.587874288609888,-0.724686958134217,-1.35402383350206,-1.05073555169945,-0.772532257750942,NA,0.566041774058208
"3606",390194,-0.124277763093435,-0.432800677995302,-0.410340228143741,0.392086350151358,-0.120199131349867,0.806688349780853,-0.251857608418688
"3607",390195,0.845060426622785,0.945551200438462,1.65086343619154,2.88423327153003,2.01470928232638,NA,NA
"3608",390197,0.718625010572843,1.12392614941224,-1.03118470535316,0.588834791312832,0.769346041015234,NA,1.79289084777355
"3609",390198,-1.12522480682214,-0.692255149229893,-1.57752784529745,-1.05073555169945,-0.772532257750942,NA,NA
"3610",390199,-0.98825310610137,-0.562527913612598,-1.32919005441368,-0.722821483096996,-0.0608961198588607,NA,-0.251857608418688
"3611",390201,0.845060426622785,1.04284662715143,0.434008260861071,0.851166046194798,1.59958820188933,NA,1.17946631091588
"3612",390203,0.655407302547872,0.734744442560357,0.334673144507564,-0.0669933458920822,-0.120199131349867,NA,NA
"3613",390204,0.802915287939471,0.653664920299547,-0.211669995436726,1.04791448735627,1.06586109847027,NA,NA
"3614",390211,-0.282322033155862,0.00502874221306991,-1.05601848444154,-0.526073041935522,0.0577099031231529,NA,NA
"3615",390217,-0.198031755789234,-0.0760507800477398,-0.658678019027509,-0.985152737978962,-0.535320211786915,NA,-0.660807299657136
"3616",390219,-0.419293733876632,-0.270641633473683,-0.559342902674002,-0.526073041935522,-0.179502142840874,-0.247446532770718,-0.86528214527636
"3617",390220,0.708088725902015,0.994198913794948,0.0118340163586652,0.0641722815489007,-0.0608961198588607,NA,1.3839411565351
"3618",390222,0.87666928063527,1.17257386276873,0.930683842628608,-0.00141053217159076,1.12516410996127,NA,NA
"3619",390223,0.971495842672726,0.734744442560357,1.84953366889855,3.146564526412,0.354224960578187,NA,NA
"3620",390225,0.676479871889529,0.34556273570847,1.4770269825729,1.50699418339971,1.24377013294329,NA,-0.251857608418688
