"","Provider.ID","MORT_30_AMI_Score","MORT_30_CABG_Score","MORT_30_COPD_Score","MORT_30_HF_Score","MORT_30_PN_Score","MORT_30_STK_Score","PSI_4_SURG_COMP_Score"
"1",10001,-1.27924274645461,1.02988799468877,1.1232415243624,0.168884712071265,-0.437353362574265,0.29098415576126,1.74733646360111
"2",10005,1.58737500111031,NA,-0.436881458385857,2.33316390956772,2.16383604555636,0.352690598491836,2.34553205180581
"3",10006,2.16069855062329,0.912115191065662,-0.895741159194166,2.40297936755147,0.88778086420926,1.83364522402565,2.57446521787926
"4",10007,NA,NA,1.1232415243624,1.5651938717464,1.18225513682782,1.03146146852817,NA
"5",10008,NA,NA,0.113750182584114,0.378331086022534,-0.339195271701411,NA,NA
"6",10011,-0.132595647428642,0.441023976573234,-0.62042533870918,1.14630112384386,0.740543727899979,-1.43679624069486,1.17408879149391
"7",10012,2.24260191483943,NA,1.03146958420073,0.238700170055021,2.70370554535705,0.537809926683563,NA
"8",10016,0.52263126630048,0.323251172950127,0.0219782424224528,1.28593203981137,-0.142879089955703,0.537809926683563,1.06653555320687
"9",10018,NA,NA,NA,NA,NA,NA,NA
"10",10019,1.25976154424574,NA,0.572609883392424,0.517962001990048,1.3294922731371,0.29098415576126,-0.0755246059235223
"11",10021,NA,NA,-1.5381447403258,0.029253796103751,-1.02630190781139,0.969755025797592,NA
"12",10022,NA,NA,-0.345109518224194,2.54261028351899,-0.290116226264984,NA,NA
"13",10023,-0.542112468509344,1.38320640555809,0.939697644039072,0.936854749892587,0.00435804635357639,0.908048583067015,1.93139664458717
"14",10024,0.604534630516621,1.73652481642741,1.30678540468572,-1.08779353163635,1.13317609139139,-0.943144698850252,1.81220104545463
"15",10029,1.1778581800296,1.26543360193498,-0.0697936977392087,-0.0405616618800053,1.18225513682782,-0.326080271544496,0.716710329706251
"16",10032,NA,NA,0.113750182584114,-1.15760898962011,-0.290116226264984,NA,NA
"17",10033,-1.36114611067075,-1.20779527415026,-0.895741159194166,-1.15760898962011,-0.731827635192825,2.45070965133141,0.291486959777605
"18",10034,NA,NA,-0.987513099355828,-1.92557902744143,-1.66432949848494,-0.140960943352769,NA
"19",10035,1.34166490846188,NA,0.205522122745778,0.238700170055021,1.8693617729378,1.15487435398932,-0.539001447201682
"20",10036,NA,NA,-0.803969219032504,-0.459454409782544,-0.633669544319972,-1.0665575843114,NA
"21",10038,0.3588245378682,NA,-1.5381447403258,-0.0405616618800053,-0.82998572606568,-0.326080271544496,NA
"22",10039,-0.787822561157766,-1.7966592922658,0.205522122745778,-0.319823493815032,1.13317609139139,1.83364522402565,1.94969178305868
"23",10040,0.768341358948902,0.441023976573234,-0.528653398547518,1.14630112384386,1.13317609139139,-0.634612485197374,-0.810102135461276
"24",10044,NA,NA,-1.35460086000248,-0.529269867766301,-1.22261808955709,NA,NA
"25",10045,NA,NA,-0.436881458385857,-1.0179780736526,0.495148500717845,-0.634612485197374,NA
"26",10046,1.50547163689417,-0.265612845165408,-0.253337578062533,-0.459454409782544,0.642385637027126,-0.140960943352769,-0.171989881500556
"27",10047,NA,NA,-0.803969219032504,NA,-0.879064771502106,NA,NA
"28",10049,NA,NA,2.86690838743397,1.00667020787634,1.62396654575566,-0.140960943352769,NA
"29",10051,NA,NA,1.03146958420073,-1.22742444760387,0.00435804635357639,NA,NA
"30",10052,NA,NA,-0.528653398547518,-0.180192577847518,-0.19195813539213,NA,NA
"31",10055,2.40640864327171,0.323251172950127,2.59159256694899,1.42556295577888,-0.97722286237496,0.908048583067015,2.57446521787926
"32",10056,1.1778581800296,2.32538883454295,0.113750182584114,0.378331086022534,-1.22261808955709,-0.511199599736223,1.32044989926596
"33",10058,NA,NA,NA,NA,1.03501800051854,NA,NA
"34",10059,0.3588245378682,NA,-0.62042533870918,0.029253796103751,-0.682748589756399,-0.511199599736223,NA
"35",10061,NA,NA,-0.0697936977392087,-0.0405616618800053,-0.0447209990828494,0.29098415576126,NA
"36",10062,NA,NA,0.205522122745778,1.77464024569767,0.102516137226431,NA,NA
"37",10065,0.52263126630048,NA,-0.987513099355828,0.308515628038778,1.3294922731371,-0.0175480578916176,-0.73803037784625
"38",10069,NA,NA,0.480837943230762,0.0990692540875085,0.446069455281419,-0.0175480578916176,NA
"39",10073,NA,NA,0.205522122745778,0.378331086022534,0.642385637027126,NA,NA
"40",10078,0.113114445219778,-0.383385648788515,-1.17105697967915,0.936854749892587,1.03501800051854,-0.0175480578916176,1.17686078217141
"41",10079,NA,NA,1.1232415243624,0.168884712071265,1.18225513682782,0.167571270300109,NA
"42",10083,0.113114445219778,NA,-0.16156563790087,-0.668900783733815,-1.12445999868424,0.72292925487529,0.137918676244051
"43",10085,0.3588245378682,NA,-1.26282891984081,0.168884712071265,1.37857131857353,0.476103483952987,2.57446521787926
"44",10086,NA,NA,-0.895741159194166,-0.599085325750057,-0.584590498883545,0.29098415576126,NA
"45",10087,NA,NA,-0.436881458385857,NA,NA,2.01876455221738,0.2770726082546
"46",10089,-1.11543601802233,NA,0.939697644039072,0.65759291795756,1.13317609139139,-0.326080271544496,-0.3028278414786
"47",10090,2.16069855062329,2.79648004903537,-1.07928503951749,1.91427116166518,-0.0447209990828494,1.03146146852817,2.43368135535034
"48",10091,NA,NA,-0.253337578062533,0.448146544006291,0.298832318972138,NA,NA
"49",10092,1.75118172954259,3.1497984599047,0.84792570387741,0.378331086022534,0.740543727899979,-0.26437382881392,0.397377003658141
"50",10095,NA,NA,NA,NA,-0.780906680629252,NA,NA
