"","Provider.ID","Hospital.overall.rating"
"260",50006,"3"
"261",50007,"4"
"262",50008,"3"
"263",50009,"3"
"264",50013,"3"
"265",50014,"2"
"266",50017,"3"
"267",50018,"3"
"268",50022,"2"
"269",50024,"4"
"270",50025,"3"
"271",50026,"3"
"272",50028,"3"
"273",50030,"3"
"274",50036,"2"
"275",50038,"2"
"276",50039,"3"
"277",50040,"2"
"278",50042,"3"
"279",50043,"3"
"280",50045,"2"
"281",50047,"4"
"282",50054,"3"
"283",50055,"2"
"284",50056,"1"
"285",50057,"4"
"286",50058,"3"
"287",50060,"2"
"288",50063,"2"
"289",50067,"2"
"290",50069,"2"
"291",50070,"3"
"292",50071,"3"
"293",50072,"2"
"294",50073,"3"
"295",50075,"3"
"296",50076,"3"
"297",50077,"3"
"298",50078,"3"
"299",50082,"2"
"300",50084,"2"
"301",50089,"2"
"302",50090,"4"
"303",50091,"2"
"304",50093,"2"
"305",50096,"Not Available"
"306",50099,"3"
"307",50100,"4"
"308",50101,"3"
"309",50102,"2"
"310",50103,"3"
"311",50104,"3"
"312",50107,"3"
"313",50108,"4"
"314",50110,"2"
"315",50112,"4"
"316",50113,"3"
"317",50115,"3"
"318",50116,"2"
"319",50118,"3"
"320",50121,"2"
"321",50122,"2"
"322",50124,"2"
"323",50125,"2"
"324",50126,"2"
"325",50127,"3"
"326",50128,"2"
"327",50129,"2"
"328",50131,"4"
"329",50132,"4"
"330",50133,"1"
"331",50135,"3"
"332",50136,"3"
"333",50137,"3"
"334",50138,"3"
"335",50139,"3"
"336",50140,"3"
"337",50145,"5"
"338",50149,"2"
"339",50150,"3"
"340",50152,"3"
"341",50153,"2"
"342",50158,"3"
"343",50159,"2"
"344",50167,"2"
"345",50168,"3"
"346",50169,"3"
"347",50174,"4"
"348",50179,"3"
"349",50180,"4"
"350",50189,"3"
"351",50191,"3"
"352",50192,"2"
"353",50194,"3"
"354",50195,"3"
"355",50196,"Not Available"
"356",50197,"4"
"357",50204,"3"
"358",50205,"4"
"359",50211,"2"
"360",50222,"4"
"361",50224,"4"
"362",50225,"3"
"363",50226,"3"
"364",50228,"1"
"365",50230,"3"
"366",50231,"3"
"367",50232,"4"
"368",50234,"4"
"369",50235,"3"
"370",50236,"3"
"371",50238,"5"
"372",50239,"4"
"373",50242,"4"
"374",50243,"1"
"375",50245,"2"
"376",50248,"3"
"377",50254,"4"
"378",50257,"2"
"379",50261,"2"
"380",50262,"3"
"381",50272,"4"
"382",50276,"2"
"383",50278,"4"
"384",50279,"2"
"385",50280,"3"
"386",50281,"4"
"387",50283,"4"
"388",50289,"2"
"389",50290,"4"
"390",50291,"3"
"391",50292,"3"
"392",50295,"2"
"393",50296,"2"
"394",50298,"3"
"395",50300,"2"
"396",50301,"3"
"397",50305,"2"
"398",50308,"4"
"399",50309,"4"
"400",50313,"3"
"401",50315,"1"
"402",50320,"1"
"403",50324,"5"
"404",50327,"2"
"405",50329,"3"
"406",50334,"3"
"407",50335,"2"
"408",50336,"2"
"409",50342,"2"
"410",50348,"2"
"411",50350,"3"
"412",50351,"3"
"413",50352,"3"
"414",50353,"3"
"415",50357,"5"
"416",50359,"1"
"417",50360,"3"
"418",50367,"2"
"419",50373,"2"
"420",50376,"2"
"421",50378,"2"
"422",50380,"2"
"423",50382,"2"
"424",50390,"1"
